id,name,outgoing_weight,incoming_weight,total_weight,size
327,Ethereal,0,1,1,10.0
330,Chicago Blues,0,2,2,10.005758157389636
332,Synthwave,0,2,2,10.005758157389636
333,Speedcore,0,8,8,10.040307101727446
334,Doomcore,0,4,4,10.017274472168905
336,Industrial Metal,0,4,4,10.017274472168905
339,Musique Concrète,0,2,2,10.005758157389636
342,Bleep,0,4,4,10.017274472168905
343,Nordic,0,1,1,10.0
347,Black Metal,0,5,5,10.023032629558541
355,Ragtime,0,1,1,10.0
357,Favela Funk,0,1,1,10.0
364,Stoner Rock,0,5,5,10.023032629558541
365,Country Blues,0,2,2,10.005758157389636
369,Field Recording,0,4,4,10.017274472168905
376,Alt-Pop,0,3,3,10.01151631477927
382,Metalcore,0,1,1,10.0
391,Symphonic Metal,0,1,1,10.0
397,Horror Rock,0,1,1,10.0
398,Hyphy,0,1,1,10.0
403,Noisecore,0,2,2,10.005758157389636
404,Neo Trance,0,3,3,10.01151631477927
405,Halftime,0,4,4,10.017274472168905
406,Catalan Music,0,1,1,10.0
407,Monolog,0,2,2,10.005758157389636
408,Doo Wop,0,1,1,10.0
409,Charanga,0,1,1,10.0
410,Joropo,0,1,1,10.0
411,Screw,0,3,3,10.01151631477927
412,Electroacoustic,0,1,1,10.0
425,Free Funk,0,1,1,10.0
429,Hard Bop,0,1,1,10.0
430,Steel Band,0,1,1,10.0
438,Electro Swing,0,2,2,10.005758157389636
481,Therapy,0,11,11,10.057581573896353
